"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05734","STANDARD","Bridport",,,"VT","Addison County","America/New_York","802","43.98","-73.32","NA","US","0","1087",
"05735","STANDARD","Castleton",,"Castleton State College, East Hubbardton, Hubbardton","VT","Rutland County","America/New_York","802","43.62","-73.18","NA","US","0","2370",
"05736","STANDARD","Center Rutland","Ctr Rutland",,"VT","Rutland County","America/New_York","802","43.61","-73.01","NA","US","0","536",
"05737","STANDARD","Chittenden",,,"VT","Rutland County","America/New_York","802","43.72","-72.95","NA","US","0","665",
"05738","STANDARD","Cuttingsville","Shrewsbury","North Shrewsbury, Russellville","VT","Rutland County","America/New_York","802","43.48","-72.88","NA","US","0","1058",
"05739","STANDARD","Danby","Mount Tabor","Chipman Lake, Danby Corners, Scottsville, South End","VT","Rutland County","America/New_York","802","43.35","-73","NA","US","0","1194",
"05740","PO BOX","East Middlebury","E Middlebury",,"VT","Addison County","America/New_York","802","43.98","-73.08","NA","US","0","845",
"05741","PO BOX","East Poultney","Poultney",,"VT","Rutland County","America/New_York","802","43.54","-73.13","NA","US","0","0",
"05742","STANDARD","East Wallingford","E Wallingford","Bowlsville","VT","Rutland County","America/New_York","802","43.43","-72.87","NA","US","0","0",
"05743","STANDARD","Fair Haven","Benson, West Haven","Benson Landing, Fairhaven, West Castleton","VT","Rutland County","America/New_York","802","43.59","-73.27","NA","US","0","3514",
"05744","STANDARD","Florence",,,"VT","Rutland County","America/New_York","802","43.7","-73.08","NA","US","0","507",
"05745","PO BOX","Forest Dale",,"Forestdale","VT","Rutland County","America/New_York","802","43.82","-73.05","NA","US","0","0",
"05746","PO BOX","Gaysville",,,"VT","Windsor County","America/New_York","802","43.73","-72.74","NA","US","0","0",
"05747","STANDARD","Granville",,"Lower Granville","VT","Addison County","America/New_York","802","43.98","-72.85","NA","US","0","0",
